Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
2,The Eight Hundred,"$336,404,741","$188,258",<0.1%,"$336,216,483",99.9%
3,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
4,Dolittle,"$246,376,719","$77,047,065",31.3%,"$169,329,654",68.7%
5,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
6,Tenet,"$152,300,000","$20,200,000",13.3%,"$132,100,000",86.7%
7,Onward,"$140,422,408","$61,555,145",43.8%,"$78,867,263",56.2%
8,The Invisible Man,"$130,877,645","$64,914,050",49.6%,"$65,963,595",50.4%
9,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
10,Fantasy Island,"$47,341,051","$26,441,782",55.9%,"$20,899,269",44.1%
11,Inception 10th Anniversary re-release,"$43,347,522",-,-,"$43,347,522",100%
12,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
13,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
14,Peninsula,"$33,474,376","$869,190",2.6%,"$32,605,186",97.4%
15,Bloodshot,"$30,859,498","$10,021,787",32.5%,"$20,837,711",67.5%
16,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
17,Emma.,"$25,628,721","$10,055,355",39.2%,"$15,573,366",60.8%
18,Unhinged,"$23,995,836","$11,995,836",50%,"$12,000,000",50%
19,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
20,The New Mutants,"$21,303,774","$12,352,627",58%,"$8,951,147",42%
21,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
22,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
23,Scoob!,"$19,600,000",-,-,"$19,600,000",100%
24,The Turning,"$18,596,338","$15,472,775",83.2%,"$3,123,563",16.8%
25,Baaghi 3,"$16,724,862","$721,439",4.3%,"$16,003,423",95.7%
26,Trolls World Tour,"$15,060,411",-,-,"$15,060,411",100%
27,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
28,I Still Believe,"$14,202,766","$9,868,521",69.5%,"$4,334,245",30.5%
29,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$13,369,307",-,-,"$13,369,307",100%
30,Greenland,"$11,500,000",-,-,"$11,500,000",100%
31,The Personal History of David Copperfield,"$11,321,754","$1,129,878",10%,"$10,191,876",90%
32,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
33,The Hunt,"$10,650,431","$5,812,500",54.6%,"$4,837,931",45.4%
34,My Spy,"$10,200,000",-,-,"$10,200,000",100%
35,After We Collided,"$10,200,000",-,-,"$10,200,000",100%
36,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
37,Malang,"$8,396,547",-,-,"$8,396,547",100%
38,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
39,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
40,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
41,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
42,Mulan,"$5,900,000",-,-,"$5,900,000",100%
43,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
44,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
45,Military Wives,"$4,172,000",-,-,"$4,172,000",100%
46,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
47,The Wretched,"$3,803,045","$1,814,193",47.7%,"$1,988,852",52.3%
48,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
